users,items,partition
0,222,0
0,484,0
0,567,0
0,106,0
0,614,0
0,645,0
1,324,0
1,710,0
1,641,0
1,300,0
1,566,0
1,723,0
1,234,0
1,449,0
1,385,0
1,683,0
1,629,0
1,11,0
2,685,0
2,686,0
2,404,0
2,151,0
2,507,0
2,726,0
3,34,0
3,554,0
3,205,0
3,165,0
3,499,0
3,32,0
3,663,0
3,698,0
4,606,0
4,169,0
4,62,0
4,686,0
4,585,0
4,545,0
5,512,0
5,226,0
5,665,0
5,176,0
5,406,0
6,567,0
6,83,0
6,642,0
6,89,0
6,550,0
6,684,0
7,323,0
7,64,0
7,706,0
7,166,0
7,522,0
7,526,0
7,707,0
7,1,0
7,585,0
7,421,0
8,87,0
8,457,0
8,181,0
8,398,0
8,507,0
9,222,0
9,110,0
9,718,0
9,423,0
9,65,0
9,446,0
9,154,0
9,359,0
9,244,0
9,401,0
9,469,0
10,142,0
10,632,0
10,400,0
10,159,0
10,638,0
11,659,0
11,243,0
11,166,0
11,543,0
11,333,0
11,702,0
11,1,0
11,99,0
12,268,0
12,560,0
12,14,0
12,718,0
12,686,0
12,197,0
12,111,0
12,241,0
12,359,0
12,488,0
12,596,0
13,142,0
13,434,0
13,88,0
13,621,0
13,744,0
13,534,0
13,4,0
13,385,0
13,430,0
14,356,0
14,104,0
14,478,0
14,352,0
14,201,0
14,663,0
14,550,0
15,436,0
15,142,0
15,171,0
15,508,0
15,308,0
15,659,0
15,198,0
15,168,0
15,160,0
16,122,0
16,440,0
16,561,0
16,426,0
16,597,0
17,446,0
17,27,0
17,735,0
17,56,0
17,522,0
17,344,0
17,43,0
17,368,0
17,365,0
18,288,0
18,575,0
18,194,0
18,154,0
18,180,0
18,514,0
18,485,1
18,350,1
18,611,1
18,258,1
18,3,1
18,626,1
18,689,1
19,154,0
19,98,0
19,29,0
19,719,0
19,537,0
19,732,0
19,639,0
20,467,0
20,276,0
20,439,0
20,672,0
20,213,0
21,436,0
21,512,0
21,730,0
21,604,0
21,415,0
22,718,0
22,397,0
22,722,0
22,475,0
22,607,0
22,241,0
22,359,0
22,488,0
22,218,0
23,223,0
23,154,0
23,135,0
23,376,0
23,475,0
23,607,0
23,241,0
23,359,0
23,634,0
24,326,0
24,74,0
24,40,0
24,0,0
24,242,0
25,653,0
25,307,0
25,286,0
25,116,0
25,40,0
26,360,0
26,222,0
26,462,0
26,508,0
26,311,0
26,202,0
26,266,0
26,332,0
26,100,0
26,84,0
26,649,0
26,47,0
26,677,0
26,513,0
26,41,0
26,375,0
26,540,0
26,458,0
27,457,0
27,181,0
27,735,0
27,285,0
27,263,0
27,291,0
27,136,0
27,742,0
27,458,0
28,740,0
28,436,0
28,508,0
28,156,0
28,653,0
28,116,0
28,659,0
28,703,0
28,295,0
28,209,0
28,537,0
28,692,1
28,533,1
28,9,1
28,119,1
28,681,1
28,352,1
28,586,1
28,708,1
28,238,1
28,554,1
28,366,1
28,24,1
28,289,1
28,344,1
28,742,1
28,741,1
28,679,1
28,569,1
28,693,1
28,225,1
28,530,1
29,554,0
29,649,0
29,735,0
29,342,0
29,292,0
29,16,0
30,134,0
30,692,0
30,301,0
30,125,0
30,237,0
30,737,0
30,413,0
30,245,0
30,281,0
30,44,0
30,273,0
30,547,0
30,617,0
30,717,0
30,690,0
30,293,0
30,489,0
30,343,0
30,452,0
30,545,0
30,183,0
30,418,0
30,69,0
31,440,0
31,165,0
31,178,0
31,35,0
31,316,0
31,615,0
31,262,0
31,97,0
31,498,0
31,78,0
32,206,0
32,21,0
32,730,0
32,412,0
32,243,0
32,72,0
32,61,0
32,159,0
32,609,0
32,406,0
32,603,0
32,182,0
33,393,0
33,88,0
33,27,0
33,98,0
33,29,0
33,417,0
34,223,0
34,304,0
34,484,0
34,106,0
34,564,0
35,346,0
35,122,0
35,686,0
35,197,0
35,66,0
35,561,0
35,712,0
35,325,0
35,732,0
35,639,0
36,372,0
36,484,0
36,259,0
36,345,0
36,203,0
37,332,0
37,554,0
37,431,0
37,526,0
37,263,0
37,297,0
38,142,0
38,222,0
38,353,0
38,567,0
38,431,0
38,40,0
38,84,0
38,155,0
38,435,0
38,168,0
38,123,0
39,434,0
39,345,0
39,697,0
39,466,0
39,275,0
39,208,0
40,327,0
40,714,0
40,390,0
40,133,0
40,596,0
41,636,0
41,443,0
41,632,0
41,159,0
41,656,0
42,478,0
42,173,0
42,68,0
42,578,0
42,696,0
43,175,0
43,454,0
43,720,0
43,67,0
43,354,0
43,432,0
43,486,0
43,292,0
43,639,0
43,355,0
44,346,0
44,95,0
44,88,0
44,678,0
44,385,0
45,110,0
45,508,0
45,546,0
45,113,0
45,241,0
46,345,0
46,385,0
46,607,0
46,359,0
46,696,0
46,46,0
47,171,0
47,339,0
47,542,0
47,668,0
47,592,0
48,223,0
48,497,0
48,521,0
48,304,0
48,308,0
48,659,0
48,409,0
48,188,0
48,691,0
48,506,0
48,735,0
48,164,0
48,543,0
48,178,0
48,289,0
48,719,0
48,384,0
49,582,0
49,51,0
49,510,0
49,413,0
49,322,0
49,490,0
49,532,0
49,293,0
49,289,0
49,73,0
49,333,0
49,103,0
49,728,0
49,252,0
49,603,0
50,142,0
50,434,0
50,101,0
50,222,0
50,739,0
50,33,0
50,7,0
50,54,0
50,659,0
50,452,0
50,406,0
50,152,0
50,711,0
51,181,0
51,74,0
51,332,0
51,136,0
51,687,0
51,297,0
52,718,0
52,159,0
52,722,0
52,348,0
52,663,0
52,519,0
53,346,0
53,454,0
53,720,0
53,732,0
53,639,0
54,346,0
54,156,0
54,502,0
54,73,0
54,609,0
54,254,0
54,225,0
54,328,0
55,206,0
55,229,0
55,468,0
55,267,0
55,717,0
55,284,0
56,301,0
56,210,0
56,325,0
56,394,0
56,555,0
57,324,0
57,459,0
57,266,0
57,130,0
57,717,0
58,222,0
58,413,0
58,343,0
58,236,0
58,648,0
58,497,1
58,640,1
58,701,1
58,737,1
58,617,1
58,160,1
58,248,1
58,183,1
59,560,0
59,309,0
59,353,0
59,517,0
59,332,0
59,337,0
59,264,0
59,102,0
59,42,0
59,279,0
59,359,0
59,742,0
59,186,0
59,679,0
60,699,0
60,282,0
60,115,0
60,475,0
60,607,0
60,359,0
61,485,0
61,374,0
